area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
PCT9742	679	186	493	248	95	153
PCT9743	1138	254	884	421	122	299
PCT9744	907	216	691	318	113	205
PCT9745	973	277	696	322	110	212
PCT9748	910	201	709	409	98	311
PCT9749	1871	452	1419	704	214	490
PCT9751	1038	224	814	483	135	348
PCT9752	696	158	538	355	89	266
PCT9753	764	184	580	330	93	237
PCT9754	686	176	510	352	111	241
PCT9755	567	148	419	246	76	170
PCT9756	940	177	763	333	69	264
PCT9801	404	111	293	186	51	135
PCT9900	0	0	0	0	0	0
PCT9901	0	0	0	0	0	0
PCT9902	0	0	0	0	0	0
CONG12	437850	104373	333477	182849	53406	129443
CONG14	57200	13380	43820	23273	6022	17251
ASSM17	287476	68827	218649	119897	34955	84942
ASSM19	207574	48926	158648	86225	24473	61752
SUPV1	42447	10548	31899	18026	5464	12562
SUPV2	49361	10436	38925	19203	5274	13929
SUPV3	38836	8660	30176	14816	3915	10901
SUPV4	43341	10553	32788	18041	5028	13013
SUPV5	51976	12535	39441	24766	8349	16417
SUPV6	42510	8806	33704	14336	3317	11019
SUPV7	46757	10838	35919	21711	6123	15588
SUPV8	57103	13966	43137	28890	9080	19810
SUPV9	42539	11535	31004	17966	5866	12100
SUPV10	42195	10708	31487	14369	3620	10749
SUPV11	37985	9168	28817	13998	3392	10606
NEIG1	20194	5728	14466	6192	1585	4607
NEIG2	18045	3895	14150	6713	1697	5016
NEIG3	27613	6847	20766	9801	2636	7165
NEIG4	7735	1822	5913	3993	1166	2827
NEIG5	28067	6696	21371	10335	2435	7900
NEIG6	15102	3777	11325	7757	2836	4921
NEIG7	13133	3212	9921	4886	1291	3595
NEIG8	9501	2329	7172	4676	1634	3042
NEIG9	8190	1823	6367	2986	827	2159
NEIG10	10551	3255	7296	4444	1395	3049
NEIG11	41063	10470	30593	15516	4207	11309
NEIG12	32113	10184	21929	13571	4830	8741
NEIG13	15730	3773	11957	7982	2488	5494
NEIG14	9293	2547	6746	4739	1671	3068
NEIG15	5953	1310	4643	2542	702	1840
NEIG26	9927	2208	7719	3734	810	2924
NEIG16	16717	3248	13469	6660	1709	4951
NEIG17	37882	10874	27008	16190	4923	11267
NEIG18	6193	-872	7065	2815	810	2005
NEIG19	7872	1006	6866	3584	1104	2480
NEIG20	24361	4605	19756	8194	1802	6392
NEIG21	42750	10363	32387	17803	4923	12880
NEIG22	19329	4474	14855	10081	3077	7004
NEIG23	7912	1955	5957	2445	488	1957
NEIG24	33087	7694	25393	16401	4572	11829
NEIG25	26737	4530	22207	12082	3810	8272
