area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
PCT7626	ED	1081	128	1	0	0	30	97	0	77	20
PCT7626	MV	1081	361	1	0	0	76	284	3	244	37
PCT7627	ED	1075	116	-1	0	0	27	90	0	71	19
PCT7627	MV	1075	319	0	0	0	77	242	5	190	47
PCT7628	ED	906	156	0	0	0	37	119	4	91	24
PCT7628	MV	906	267	0	0	0	65	202	1	162	39
PCT7629	ED	805	108	-1	0	0	28	81	0	70	11
PCT7629	MV	805	206	2	0	0	45	159	4	136	19
PCT7631	ED	1085	146	-1	0	0	35	112	2	88	22
PCT7631	MV	1085	339	2	0	0	56	281	3	229	49
PCT7632	ED	965	167	1	0	0	36	130	4	105	21
PCT7632	MV	965	286	0	0	0	40	246	5	194	47
PCT7633	ED	702	90	0	0	0	18	72	1	63	8
PCT7633	MV	702	253	0	0	0	51	202	1	183	18
PCT7634	ED	859	120	1	0	0	25	94	0	79	15
PCT7634	MV	859	291	2	0	0	43	246	4	201	41
PCT7635	ED	782	89	0	0	0	19	70	1	55	14
PCT7635	MV	782	242	3	0	0	39	200	3	163	34
PCT7636	ED	920	134	-1	0	0	37	98	0	81	17
PCT7636	MV	920	251	-1	0	0	60	192	3	162	27
PCT7637	ED	732	89	0	0	0	19	70	0	56	14
PCT7637	MV	732	249	0	0	0	41	208	0	183	25
PCT7638	ED	1365	129	0	0	0	28	101	0	81	20
PCT7638	MV	1365	492	2	0	0	99	391	3	347	41
PCT7639	ED	962	110	1	0	0	30	79	4	63	12
PCT7639	MV	962	319	-2	0	0	75	246	2	214	30
PCT7641	ED	931	114	0	0	0	29	85	0	69	16
PCT7641	MV	931	374	0	0	0	78	296	5	236	55
PCT7642	ED	909	84	0	0	0	21	63	1	49	13
PCT7642	MV	909	268	0	0	0	106	162	0	108	54
PCT7643	ED	871	99	0	0	0	27	72	1	61	10
PCT7643	MV	871	355	2	0	1	57	295	0	243	52
PCT7644	ED	1082	156	-2	0	0	35	123	1	102	20
PCT7644	MV	1082	291	1	0	0	56	234	0	207	27
PCT7645	ED	631	63	0	0	0	13	50	3	31	16
PCT7645	MV	631	241	-3	0	1	48	195	1	167	27
PCT7646	ED	1035	110	0	0	0	28	82	2	66	14
PCT7646	MV	1035	326	0	0	0	62	264	0	222	42
PCT7647	ED	1027	107	0	0	0	16	91	7	58	26
PCT7647	MV	1027	185	0	0	0	45	140	1	97	42
PCT7648	MV	2	0	0	0	0	0	0	0	0	0
PCT7649	ED	877	97	1	0	0	18	78	1	54	23
PCT7649	MV	877	234	2	0	0	50	182	2	134	46
PCT7651	ED	555	48	0	0	0	6	42	1	34	7
PCT7651	MV	555	155	0	0	0	31	124	3	106	15
PCT7652	ED	580	68	-1	0	0	17	52	0	39	13
PCT7652	MV	580	163	-3	0	0	40	126	0	113	13
PCT7653	ED	1092	137	1	0	0	29	107	2	76	29
PCT7653	MV	1092	321	0	0	0	58	263	2	222	39
