area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
PCT7529	ED	925	214	-1	0	0	10	205	0	119	13	49	17	2	3	2
PCT7529	MV	925	300	2	0	0	26	272	0	185	19	33	19	1	7	8
PCT7531	ED	847	179	0	0	0	14	165	0	113	10	23	10	1	3	5
PCT7531	MV	847	263	0	0	1	19	243	0	175	15	29	9	0	7	8
PCT7532	ED	823	172	1	0	1	17	153	0	106	13	11	10	0	11	2
PCT7532	MV	823	226	0	0	1	18	207	0	148	11	21	7	5	13	2
PCT7533	ED	951	268	-1	0	0	17	252	0	155	14	50	14	2	10	7
PCT7533	MV	951	297	0	0	0	14	283	0	167	20	40	23	1	19	13
PCT7534	ED	883	241	0	0	0	18	223	0	148	13	32	17	1	4	8
PCT7534	MV	883	240	-1	0	1	12	228	0	157	7	30	9	1	14	10
PCT7535	ED	743	201	0	0	0	13	188	0	119	14	36	5	2	5	7
PCT7535	MV	743	251	0	0	0	7	244	0	157	12	36	21	3	9	6
PCT7536	ED	856	206	-1	0	0	17	190	1	122	10	29	20	1	3	4
PCT7536	MV	856	279	0	0	0	17	262	0	190	24	24	9	1	8	6
PCT7537	ED	734	187	0	0	0	16	171	0	108	13	30	9	2	6	3
PCT7537	MV	734	225	1	0	0	13	211	0	151	11	25	14	2	6	2
PCT7538	ED	757	223	0	0	0	17	206	0	132	8	44	12	2	3	5
PCT7538	MV	757	256	0	0	0	15	241	1	180	18	26	9	1	3	3
PCT7539	ED	884	250	1	0	1	17	231	0	140	14	50	16	0	7	4
PCT7539	MV	884	286	-1	0	1	24	262	0	173	16	35	26	1	3	8
PCT7541	ED	791	215	1	0	0	18	196	0	127	12	32	17	2	4	2
PCT7541	MV	791	245	1	0	0	22	222	1	162	5	22	22	3	6	1
PCT7542	ED	787	183	0	0	0	13	170	0	112	10	32	11	1	1	3
PCT7542	MV	787	247	1	0	2	18	226	0	154	10	34	14	1	3	10
PCT7543	ED	910	187	-2	0	0	15	174	0	129	6	24	8	0	2	5
PCT7543	MV	910	332	0	0	0	20	312	0	225	15	37	17	1	13	4
PCT7544	ED	877	186	0	0	0	14	172	1	114	10	28	6	1	7	5
PCT7544	MV	877	331	-3	0	1	26	307	1	212	18	38	18	2	11	7
PCT7545	ED	877	179	-1	0	0	8	172	0	111	18	27	6	1	7	2
PCT7545	MV	877	291	0	0	0	23	268	0	181	18	31	14	1	19	4
PCT7546	ED	913	219	0	0	0	28	191	0	126	13	25	8	2	8	9
PCT7546	MV	913	310	1	0	2	23	284	0	189	21	40	15	0	9	10
PCT7547	ED	987	244	-2	0	0	22	224	0	144	12	38	18	5	3	4
