area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
PCT7055	MV	699	256	0	0	0	1	0	255	1	0	94	41	48	6	10	1	54	0
PCT7101	MV	141	83	0	0	1	0	0	82	0	0	39	14	24	1	3	1	0	0
PCT7201	ED	900	147	0	0	0	1	0	146	0	1	67	32	18	1	26	0	1	0
PCT7201	MV	900	333	-2	0	0	6	0	329	1	1	118	74	73	18	43	1	0	0
PCT7202	ED	830	138	0	0	0	2	0	136	0	1	44	31	32	4	23	1	0	0
PCT7202	MV	830	271	-2	0	0	1	0	272	1	0	126	54	29	12	44	1	5	0
PCT7203	ED	867	174	1	0	0	5	0	168	0	0	66	50	35	3	13	1	0	0
PCT7203	MV	867	243	0	0	0	2	0	241	0	0	98	74	36	6	25	0	2	0
PCT7204	ED	888	157	0	0	2	2	0	153	0	0	67	39	26	4	17	0	0	0
PCT7204	MV	888	340	-3	0	0	3	0	340	1	0	159	95	45	9	26	0	5	0
PCT7205	ED	847	183	0	0	0	1	0	182	0	0	71	58	30	6	14	2	1	0
PCT7205	MV	847	309	1	0	2	6	0	300	2	0	107	99	48	10	34	0	0	0
PCT7206	ED	375	88	0	0	0	0	0	88	0	0	38	17	24	0	8	0	1	0
PCT7206	MV	375	124	-1	0	0	3	0	122	0	0	67	27	12	8	6	2	0	0
PCT7207	ED	744	119	0	0	0	3	0	116	0	0	48	29	23	5	10	0	1	0
PCT7207	MV	744	231	1	0	0	1	0	229	0	1	108	53	41	5	17	1	3	0
PCT7208	ED	567	76	0	0	0	0	0	76	0	0	22	28	22	2	1	0	1	0
PCT7208	MV	567	206	2	0	0	4	0	200	0	0	80	41	37	15	26	1	0	0
PCT7209	ED	586	69	0	0	0	0	0	69	0	0	36	15	9	3	2	0	4	0
PCT7209	MV	586	326	-2	0	1	3	0	324	0	1	160	90	35	8	25	1	4	0
PCT7301	ED	1002	150	-1	0	2	2	0	147	0	0	65	20	37	3	18	2	2	0
PCT7301	MV	1002	299	0	0	1	8	0	290	0	1	108	57	63	24	18	2	17	0
PCT7302	ED	806	121	0	0	0	3	0	118	0	0	35	25	29	7	13	2	7	0
PCT7302	MV	806	352	-1	0	1	3	0	349	1	2	141	84	54	21	27	1	18	0
