area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSCd1	RSCd2	RSPnd	RSCha
PCT1121	MV	DEM	319	180	172			0	8
PCT1121	MV	DEMNPP	23	21	21			0	0
PCT1121	MV	GRN	0	0	0			0	0
PCT1121	MV	LIB	3	0	0			0	0
PCT1121	MV	LIBNPP	0	0	0			0	0
PCT1121	MV	PF	8	2	2			0	0
PCT1121	MV	REP	37	16	16			0	0
PCT1121	MV	NPP	152	53	52			0	1
PCT1121	MV	NPPALL	179	78	77			0	1
PCT1122	TO	ALL	637	357	343				
PCT1122	TO	AI	11						
PCT1122	TO	DEM	321						
PCT1122	TO	GRN	2						
PCT1122	TO	LIB	1						
PCT1122	TO	PF	2						
PCT1122	TO	REP	46						
PCT1122	TO	NPP	254						
PCT1122	TO	NPPALL	254						
PCT1122	ED	ALL	118	97	97				
PCT1122	ED	AI	0						
PCT1122	ED	DEM	62						
PCT1122	ED	GRN	0						
PCT1122	ED	LIB	0						
PCT1122	ED	PF	0						
PCT1122	ED	REP	9						
PCT1122	ED	NPP	72						
PCT1122	ED	NPPALL	72						
PCT1122	MV	ALL	519	260	246			0	11
PCT1122	MV	AI	12	5	5			0	0
PCT1122	MV	AINPP	1	0	0			0	0
PCT1122	MV	DEM	259	155	150			0	5
PCT1122	MV	DEMNPP	21	18	18			0	0
PCT1122	MV	GRN	2	1	1			0	0
PCT1122	MV	LIB	1	0	0			0	0
PCT1122	MV	LIBNPP	2	2	2			0	0
PCT1122	MV	PF	2	0	0			0	0
PCT1122	MV	REP	37	23	22			0	1
PCT1122	MV	NPP	182	56	51			0	5
PCT1122	MV	NPPALL	206	76	71			0	5
PCT1123	TO	ALL	938	429	408				
PCT1123	TO	AI	13						
PCT1123	TO	DEM	484						
PCT1123	TO	GRN	5						
PCT1123	TO	LIB	6						
PCT1123	TO	PF	6						
PCT1123	TO	REP	45						
PCT1123	TO	NPP	379						
PCT1123	TO	NPPALL	379						
PCT1123	ED	ALL	208	151	151				
PCT1123	ED	AI	6						
PCT1123	ED	DEM	103						
PCT1123	ED	GRN	4						
PCT1123	ED	LIB	1						
PCT1123	ED	PF	1						
PCT1123	ED	REP	9						
PCT1123	ED	NPP	125						
PCT1123	ED	NPPALL	125						
PCT1123	MV	ALL	730	278	257			0	11
PCT1123	MV	AI	7	2	2			0	0
PCT1123	MV	AINPP	3	1	1			0	0
PCT1123	MV	DEM	381	185	175			0	10
PCT1123	MV	DEMNPP	36	21	21			0	0
PCT1123	MV	GRN	1	0	0			0	0
PCT1123	MV	LIB	5	2	2			0	0
PCT1123	MV	LIBNPP	2	2	2			0	0
PCT1123	MV	PF	5	2	2			0	0
PCT1123	MV	REP	36	14	14			0	0
PCT1123	MV	NPP	254	49	48			0	1
PCT1123	MV	NPPALL	295	73	72			0	1
PCT1124	TO	ALL	829	392	370				
PCT1124	TO	AI	21						
PCT1124	TO	DEM	447						
PCT1124	TO	GRN	5						
PCT1124	TO	LIB	5						
PCT1124	TO	PF	10						
PCT1124	TO	REP	32						
PCT1124	TO	NPP	309						
PCT1124	TO	NPPALL	309						
PCT1124	ED	ALL	198	124	124				
PCT1124	ED	AI	6						
PCT1124	ED	DEM	90						
PCT1124	ED	GRN	3						
PCT1124	ED	LIB	0						
PCT1124	ED	PF	1						
PCT1124	ED	REP	8						
PCT1124	ED	NPP	122						
PCT1124	ED	NPPALL	122						
PCT1124	MV	ALL	631	268	246			0	8
PCT1124	MV	AI	15	3	3			0	0
PCT1124	MV	AINPP	3	2	2			0	0
PCT1124	MV	DEM	357	177	170			0	7
PCT1124	MV	DEMNPP	28	22	22			0	0
PCT1124	MV	GRN	2	1	1			0	0
PCT1124	MV	LIB	6	1	1			0	0
PCT1124	MV	LIBNPP	0	0	0			0	0
PCT1124	MV	PF	9	1	1			0	0
PCT1124	MV	REP	24	15	15			0	0
PCT1124	MV	NPP	187	46	45			0	1
PCT1124	MV	NPPALL	218	70	69			0	1
PCT1125	TO	ALL	1097	500	482				
PCT1125	TO	AI	13						
PCT1125	TO	DEM	597						
PCT1125	TO	GRN	6						
PCT1125	TO	LIB	9						
PCT1125	TO	PF	3						
PCT1125	TO	REP	64						
PCT1125	TO	NPP	405						
PCT1125	TO	NPPALL	405						
PCT1125	ED	ALL	178	114	114				
PCT1125	ED	AI	1						
PCT1125	ED	DEM	76						
PCT1125	ED	GRN	2						
PCT1125	ED	LIB	1						
PCT1125	ED	PF	0						
PCT1125	ED	REP	10						
PCT1125	ED	NPP	130						
PCT1125	ED	NPPALL	130						
PCT1125	MV	ALL	919	386	368			0	10
PCT1125	MV	AI	12	3	3			0	0
PCT1125	MV	AINPP	2	1	1			0	0
PCT1125	MV	DEM	521	250	242			0	8
PCT1125	MV	DEMNPP	36	36	36			0	0
PCT1125	MV	GRN	4	1	1			0	0
PCT1125	MV	LIB	8	0	0			0	0
PCT1125	MV	LIBNPP	4	2	2			0	0
PCT1125	MV	PF	3	0	0			0	0
PCT1125	MV	REP	54	24	23			0	1
PCT1125	MV	NPP	275	69	68			0	1
PCT1125	MV	NPPALL	317	108	107			0	1
PCT1126	TO	ALL	1012	423	417				
