area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	78:SCOTT WIENER	77:ERIN SMITH	79:JACKIE FIELDER
PCT7333	ED	193	241	0	0	38	203	1	109	15	78
PCT7333	TO	1015	633	0	0	76	557	1	313	48	195
PCT7334	MV	688	307	0	0	25	282	0	165	30	87
PCT7334	ED	131	169	0	2	22	145	1	70	13	61
PCT7334	TO	819	476	0	2	47	427	1	235	43	148
PCT7335	MV	788	390	0	0	47	343	0	199	59	85
PCT7335	ED	146	217	0	0	26	191	1	120	16	54
PCT7335	TO	934	607	0	0	73	534	1	319	75	139
PCT7336	MV	779	405	0	0	42	363	0	224	63	76
PCT7336	ED	175	189	0	0	29	160	0	94	16	50
PCT7336	TO	954	594	0	0	71	523	0	318	79	126
PCT7337	MV	772	387	0	0	52	335	0	212	51	72
PCT7337	ED	125	143	0	0	21	122	0	71	15	36
PCT7337	TO	897	530	0	0	73	457	0	283	66	108
PCT7338	MV	770	360	0	1	44	315	0	222	47	46
PCT7338	ED	125	104	0	0	17	87	0	55	9	23
PCT7338	TO	895	464	0	1	61	402	0	277	56	69
PCT7339	MV	605	270	0	0	22	248	0	150	22	76
PCT7339	ED	150	149	0	0	15	134	1	76	8	49
PCT7339	TO	755	419	0	0	37	382	1	226	30	125
PCT7341	MV	675	292	0	0	24	268	0	156	19	93
PCT7341	ED	178	183	0	1	22	160	0	78	11	71
PCT7341	TO	853	475	0	1	46	428	0	234	30	164
PCT7342	MV	674	326	0	0	31	295	0	168	31	96
PCT7342	ED	230	269	0	0	23	246	1	126	29	90
PCT7342	TO	904	595	0	0	54	541	1	294	60	186
PCT7343	MV	554	253	0	0	22	231	0	130	12	89
PCT7343	ED	150	176	0	0	27	149	0	83	5	61
PCT7343	TO	704	429	0	0	49	380	0	213	17	150
PCT7344	MV	863	393	0	1	37	355	0	213	35	107
PCT7344	ED	201	237	0	0	27	210	1	114	15	80
PCT7344	TO	1064	630	0	1	64	565	1	327	50	187
PCT7345	MV	904	434	0	0	36	398	0	219	31	148
PCT7345	ED	210	253	0	0	25	228	2	110	18	98
PCT7345	TO	1114	687	0	0	61	626	2	329	49	246
PCT7346	MV	681	288	0	0	24	264	0	139	22	103
PCT7346	ED	208	208	0	1	19	188	0	88	20	80
PCT7346	TO	889	496	0	1	43	452	0	227	42	183
PCT7347	MV	833	371	0	0	37	334	0	178	23	133
PCT7347	ED	170	190	0	0	29	161	0	82	9	70
PCT7347	TO	1003	561	0	0	66	495	0	260	32	203
PCT7348	MV	650	279	0	0	18	261	0	137	34	90
PCT7348	ED	193	157	0	0	13	144	0	72	11	61
PCT7348	TO	843	436	0	0	31	405	0	209	45	151
PCT7349	MV	710	318	0	0	32	286	0	167	40	79
PCT7349	ED	202	178	0	0	27	151	0	83	13	55
PCT7349	TO	912	496	0	0	59	437	0	250	53	134
PCT7501	MV	456	248	0	0	41	207	0	139	29	39
PCT7501	ED	95	127	0	0	10	117	0	77	11	29
PCT7501	TO	551	375	0	0	51	324	0	216	40	68
PCT7502	MV	669	318	0	0	37	281	0	170	42	69
PCT7502	ED	120	167	0	0	22	145	0	90	9	46
PCT7502	TO	789	485	0	0	59	426	0	260	51	115
PCT7503	MV	614	286	0	0	29	257	0	153	28	76
PCT7503	ED	148	163	0	0	20	143	0	76	20	47
PCT7503	TO	762	449	0	0	49	400	0	229	48	123
PCT7504	MV	404	175	0	1	11	163	0	100	21	42
