area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	13:JULIÁN CASTRO	14:MICHAEL A. ELLINGER	15:ELIZABETH WARREN	16:MARIANNE WILLIAMSON	17:ANDREW YANG	18:ROQUE "ROCKY" DE LA FUENTE III	19:JOHN K. DELANEY	20:AMY KLOBUCHAR	21:BERNIE SANDERS	22:JOE SESTAK	23:TOM STEYER	24:DEVAL PATRICK	25:MICHAEL BENNET	26:MICHAEL R. BLOOMBERG	27:MOSIE BOYD	28:CORY BOOKER	29:PETE BUTTIGIEG	30:JOSEPH R. BIDEN	31:TULSI GABBARD	32:MARK STEWART GREENSTEIN	178:NAKIA L. ANTHONY	179:DAPHNE DENISE BRADFORD	180:WILLIE FELIX CARTER	181:MICHAEL DENAME	182:JEFFREY H. DROBMAN	183:ROBERT JORDAN	184:HEATHER MARIE STAGG
PCT1143	ED	227	107	0	0	0	107	0	0	0	14	0	2	0	0	0	56	0	0	0	0	9	0	0	0	26	0	0	0	0	0	0	0	0	0
PCT1143	TO	1049	203	0	0	0	203	0	0	0	26	1	5	0	0	4	99	1	1	0	0	22	0	0	5	38	1	0	0	0	0	0	0	0	0
PCT1144	MV	725	79	0	1	1	77	0	1	0	3	0	4	0	1	1	34	0	4	0	0	17	0	0	3	9	0	0	0	0	0	0	0	0	0
PCT1144	ED	222	111	0	0	0	111	0	0	0	19	0	2	0	1	0	53	0	3	0	0	7	0	0	1	24	1	0	0	0	0	0	0	0	0
PCT1144	TO	947	190	0	1	1	188	0	1	0	22	0	6	0	2	1	87	0	7	0	0	24	0	0	4	33	1	0	0	0	0	0	0	0	0
PCT1145	MV	752	116	0	0	2	114	0	1	0	14	0	5	0	0	1	34	0	3	0	0	19	0	0	15	22	0	0	0	0	0	0	0	0	0
PCT1145	ED	153	111	0	0	1	110	0	0	0	18	0	0	0	0	0	61	0	0	0	0	7	0	0	0	23	1	0	0	0	0	0	0	0	0
PCT1145	TO	905	227	0	0	3	224	0	1	0	32	0	5	0	0	1	95	0	3	0	0	26	0	0	15	45	1	0	0	0	0	0	0	0	0
PCT1146	MV	837	112	0	0	2	110	0	0	0	12	0	2	0	0	3	48	1	4	0	0	16	0	0	6	18	0	0	0	0	0	0	0	0	0
PCT1146	ED	217	96	0	0	0	96	0	0	0	13	0	1	1	0	0	55	0	1	0	0	6	0	0	0	19	0	0	0	0	0	0	0	0	0
PCT1146	TO	1054	208	0	0	2	206	0	0	0	25	0	3	1	0	3	103	1	5	0	0	22	0	0	6	37	0	0	0	0	0	0	0	0	0
PCT1147	MV	671	74	0	0	4	70	0	0	0	12	0	5	0	1	4	27	0	0	0	0	13	0	0	2	6	0	0	0	0	0	0	0	0	0
PCT1147	ED	214	99	0	0	1	98	0	0	0	29	0	1	0	0	1	42	0	0	0	0	7	0	0	0	18	0	0	0	0	0	0	0	0	0
PCT1147	TO	885	173	0	0	5	168	0	0	0	41	0	6	0	1	5	69	0	0	0	0	20	0	0	2	24	0	0	0	0	0	0	0	0	0
PCT1148	MV	802	98	0	0	0	98	0	0	0	12	0	3	1	0	0	48	0	6	0	0	10	0	0	2	13	3	0	0	0	0	0	0	0	0
PCT1148	ED	226	92	0	0	1	91	0	0	0	17	0	0	0	0	0	49	0	0	0	0	2	0	0	0	22	1	0	0	0	0	0	0	0	0
PCT1148	TO	1028	190	0	0	1	189	0	0	0	29	0	3	1	0	0	97	0	6	0	0	12	0	0	2	35	4	0	0	0	0	0	0	0	0
PCT1149	MV	708	76	0	0	1	75	0	0	1	9	0	3	0	0	2	31	0	1	0	0	9	0	0	2	16	1	0	0	0	0	0	0	0	0
PCT1149	ED	231	102	0	0	0	102	0	0	1	12	0	0	0	0	0	49	0	0	0	1	13	0	0	0	26	0	0	0	0	0	0	0	0	0
PCT1149	TO	939	178	0	0	1	177	0	0	2	21	0	3	0	0	2	80	0	1	0	1	22	0	0	2	42	1	0	0	0	0	0	0	0	0
PCT1151	MV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT1152	MV	710	78	0	0	2	76	0	1	0	6	0	1	0	0	3	26	0	4	0	0	18	0	0	8	9	0	0	0	0	0	0	0	0	0
PCT1152	ED	180	69	0	0	0	69	0	0	0	8	0	0	0	1	0	40	1	0	0	0	3	0	0	0	15	1	0	0	0	0	0	0	0	0
PCT1152	TO	890	147	0	0	2	145	0	1	0	14	0	1	0	1	3	66	1	4	0	0	21	0	0	8	24	1	0	0	0	0	0	0	0	0
PCT1153	MV	730	62	0	0	1	61	0	0	0	9	0	1	0	0	1	17	0	2	0	0	15	0	0	6	8	2	0	0	0	0	0	0	0	0
PCT1153	ED	210	101	0	0	1	100	0	1	0	18	0	1	0	0	0	34	0	1	0	0	19	0	0	3	22	1	0	0	0	0	0	0	0	0
PCT1153	TO	940	163	0	0	2	161	0	1	0	27	0	2	0	0	1	51	0	3	0	0	34	0	0	9	30	3	0	0	0	0	0	0	0	0
