area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	87:KULVINDAR "RANI" SINGH	88:CAROLYN GOLD
PCT7502	ED	121	99	0	0	35	64	0	34	30
PCT7502	TO	789	409	0	0	102	307	0	182	125
PCT7503	MV	614	281	0	0	43	238	0	132	106
PCT7503	ED	148	100	0	0	28	72	1	32	39
PCT7503	TO	762	381	0	0	71	310	1	164	145
PCT7504	MV	404	173	0	0	26	147	0	68	79
PCT7504	ED	84	52	0	0	16	36	0	18	18
PCT7504	TO	488	225	0	0	42	183	0	86	97
PCT7505	MV	729	397	0	0	85	312	0	182	130
PCT7505	ED	133	96	0	0	18	78	1	44	33
PCT7505	TO	862	493	0	0	103	390	1	226	163
PCT7506	MV	842	360	0	0	78	282	0	138	144
PCT7506	ED	158	111	0	0	20	91	0	28	63
PCT7506	TO	1000	471	0	0	98	373	0	166	207
PCT7507	MV	693	286	0	1	58	227	0	87	140
PCT7507	ED	263	95	0	0	14	81	0	23	58
PCT7507	TO	956	381	0	1	72	308	0	110	198
PCT7508	MV	618	370	0	0	75	295	0	155	140
PCT7508	ED	126	103	0	0	24	79	2	34	43
PCT7508	TO	744	473	0	0	99	374	2	189	183
PCT7509	MV	756	396	0	0	76	320	0	160	160
PCT7509	ED	173	145	0	0	33	112	2	60	50
PCT7509	TO	929	541	0	0	109	432	2	220	210
PCT7512	MV	475	245	0	1	72	172	0	79	93
PCT7512	ED	125	85	0	0	20	65	1	24	40
PCT7512	TO	600	330	0	1	92	237	1	103	133
PCT7513	MV	575	243	0	2	53	188	0	68	120
PCT7513	ED	231	107	0	0	25	82	1	32	49
PCT7513	TO	806	350	0	2	78	270	1	100	169
PCT7514	MV	709	238	0	0	45	193	0	75	118
PCT7514	ED	207	59	0	0	18	41	2	11	28
PCT7514	TO	916	297	0	0	63	234	2	86	146
PCT7515	MV	663	311	0	0	71	240	0	93	147
PCT7515	ED	201	90	0	0	23	67	1	22	44
PCT7515	TO	864	401	0	0	94	307	1	115	191
