area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	89:KAT ANDERSON	90:NADIA RAHMAN	91:MANO RAJU	92:ABRA PAULINE CASTLE	93:QUEENA CHEN	94:CYN WANG	95:LEAH LACROIX	96:SUZY LOFTUS	97:LI MIAO LOVETT	98:JANICE LI	99:JANE NATOLI	100:AHSHA SAFAI	101:GORDON MAR	102:SEEYEW MO	103:FAAUUGA MOLIGA	104:PAUL MIYAMOTO	105:MARY JUNG	106:KEITH BARAKA	107:KELLY AKEMI GROTH	108:A. J. THOMAS	109:MAWULI TUGBENYOH
PCT9217	TO	366	296	0	2	1953	987	0	68	33	51	29	33	40	55	71	35	44	56	50	53	27	45	54	55	65	42	55	26
PCT9218	MV	344	189	0	0	1146	744	0	39	21	40	14	23	25	48	61	31	36	43	34	44	27	31	40	44	47	34	41	21
PCT9218	ED	85	136	0	0	931	429	0	28	19	17	10	13	21	18	32	14	17	24	27	22	18	13	26	28	26	18	21	17
PCT9218	TO	429	325	0	0	2077	1173	0	67	40	57	24	36	46	66	93	45	53	67	61	66	45	44	66	72	73	52	62	38
PCT9219	MV	382	213	0	0	1439	691	0	33	27	33	20	33	22	46	57	28	39	32	25	35	27	25	33	42	46	31	32	25
PCT9219	ED	79	139	0	0	1025	365	0	24	18	19	10	15	15	23	24	13	17	13	13	23	10	17	13	27	24	15	21	11
PCT9219	TO	461	352	0	0	2464	1056	0	57	45	52	30	48	37	69	81	41	56	45	38	58	37	42	46	69	70	46	53	36
PCT9221	MV	306	212	0	0	1429	691	0	56	32	23	17	8	31	33	102	12	28	39	41	34	21	19	42	58	35	15	18	27
PCT9221	ED	63	99	0	0	684	306	0	27	9	17	6	6	9	12	48	13	9	14	24	18	5	8	22	25	13	5	9	7
PCT9221	TO	369	311	0	0	2113	997	0	83	41	40	23	14	40	45	150	25	37	53	65	52	26	27	64	83	48	20	27	34
PCT9222	MV	402	237	0	0	1458	912	0	60	36	44	21	35	30	57	78	35	42	53	44	44	29	31	50	68	54	36	41	24
PCT9222	ED	81	160	0	1	1143	447	0	33	21	25	11	21	17	29	38	16	22	17	25	22	13	13	19	30	26	15	23	11
