sDistrictID	iSubDistrict	szDistrictName	sPrecinctID	sPrecinctPortion	szPrecinctName
*0	0	County Wide	9703   		Pct 9703
*0	0	County Wide	9704   		Pct 9704
*0	0	County Wide	9705   		Pct 9705
*0	0	County Wide	9706   		Pct 9706
*0	0	County Wide	9707   		Pct 9707
*0	0	County Wide	9708   		Pct 9708
*0	0	County Wide	9709   		Pct 9709
*0	0	County Wide	9711   		Pct 9711
*0	0	County Wide	9712   		Pct 9712
*0	0	County Wide	9713   		Pct 9713
*0	0	County Wide	9714   		Pct 9714
*0	0	County Wide	9715   		Pct 9715
*0	0	County Wide	9716   		Pct 9716
*0	0	County Wide	9717   		Pct 9717
*0	0	County Wide	9718   		Pct 9718
*0	0	County Wide	9719   		Pct 9719
*0	0	County Wide	9721   		Pct 9721
*0	0	County Wide	9722   		Pct 9722
*0	0	County Wide	9723   		Pct 9723
*0	0	County Wide	9724   		Pct 9724
*0	0	County Wide	9725   		Pct 9725
*0	0	County Wide	9726   		Pct 9726
*0	0	County Wide	9727   		Pct 9727
*0	0	County Wide	9728   		Pct 9728
*0	0	County Wide	9729   		Pct 9729
*0	0	County Wide	9731   		Pct 9731
*0	0	County Wide	9732   		Pct 9732
*0	0	County Wide	9733   		Pct 9733
*0	0	County Wide	9734   		Pct 9734
*0	0	County Wide	9735   		Pct 9735
*0	0	County Wide	9736   		Pct 9736
*0	0	County Wide	9737   		Pct 9737
*0	0	County Wide	9738   		Pct 9738
*0	0	County Wide	9739   		Pct 9739
*0	0	County Wide	9741   		Pct 9741
*0	0	County Wide	9742   		Pct 9742
*0	0	County Wide	9743   		Pct 9743
*0	0	County Wide	9744   		Pct 9744
*0	0	County Wide	9745   		Pct 9745
*0	0	County Wide	9746   		Pct 9746
*0	0	County Wide	9747   		Pct 9747
*0	0	County Wide	9748   		Pct 9748
*0	0	County Wide	9749   		Pct 9749
*0	0	County Wide	9751   		Pct 9751
*0	0	County Wide	9752   		Pct 9752
*0	0	County Wide	9753   		Pct 9753
*0	0	County Wide	9754   		Pct 9754
*0	0	County Wide	9755   		Pct 9755
*0	0	County Wide	9756   		Pct 9756
*0	0	County Wide	9801   		Pct 9801
*0	0	County Wide	9900   		Pct 9900
*0	0	County Wide	9901   		Pct 9901
*0	0	County Wide	9902   		Pct 9902
ASSM17	0	17TH ASMBLY	1141   		Pct 1141
ASSM17	0	17TH ASMBLY	1142   		Pct 1142
ASSM17	0	17TH ASMBLY	1143   		Pct 1143
ASSM17	0	17TH ASMBLY	1144   		Pct 1144
ASSM17	0	17TH ASMBLY	1145   		Pct 1145
ASSM17	0	17TH ASMBLY	1146   		Pct 1146
ASSM17	0	17TH ASMBLY	1147   		Pct 1147
ASSM17	0	17TH ASMBLY	1148   		Pct 1148
ASSM17	0	17TH ASMBLY	1149   		Pct 1149
ASSM17	0	17TH ASMBLY	1151   		Pct 1151
ASSM17	0	17TH ASMBLY	1152   		Pct 1152
ASSM17	0	17TH ASMBLY	1153   		Pct 1153
ASSM17	0	17TH ASMBLY	1154   		Pct 1154
ASSM17	0	17TH ASMBLY	7001   		Pct 7001
ASSM17	0	17TH ASMBLY	7002   		Pct 7002
ASSM17	0	17TH ASMBLY	7003   		Pct 7003
ASSM17	0	17TH ASMBLY	7004   		Pct 7004
ASSM17	0	17TH ASMBLY	7005   		Pct 7005
ASSM17	0	17TH ASMBLY	7006   		Pct 7006
ASSM17	0	17TH ASMBLY	7007   		Pct 7007
ASSM17	0	17TH ASMBLY	7008   		Pct 7008
ASSM17	0	17TH ASMBLY	7009   		Pct 7009
ASSM17	0	17TH ASMBLY	7011   		Pct 7011
ASSM17	0	17TH ASMBLY	7012   		Pct 7012
ASSM17	0	17TH ASMBLY	7013   		Pct 7013
ASSM17	0	17TH ASMBLY	7014   		Pct 7014
ASSM17	0	17TH ASMBLY	7015   		Pct 7015
