precinct_id|cons_precinct_id|cons_precinct_name|ballot_type|vbm|poll_id
9431|9431|Pct 9431|006|N|2392
9432|9432|Pct 9432|006|N|3388
9433|9433|Pct 9433|006|N|3317
9434|9434|Pct 9434|006|N|2628
9435|9435|Pct 9435|006|N|3401
9436|9436|Pct 9436|006|N|2682
9437|9437|Pct 9437|006|N|3429
9438|9438|Pct 9438|006|N|3193
9439|9439|Pct 9439|006|N|307
9441|9441|Pct 9441|006|N|3280
9442|9442|Pct 9442|006|N|2663
9443|9443|Pct 9443|006|N|283
9444|9444|Pct 9444|006|N|3139
9445|9445|Pct 9445|006|N|2593
9446|9446|Pct 9446|006|N|3438
9447|9447|Pct 9447|006|N|1093
9448|9448|Pct 9448|006|N|2699
9449|9449|Pct 9449|006|N|1767
9451|9451|Pct 9451|006|N|2835
9452|9452|Pct 9452|006|N|3208
9453|9453|Pct 9453|004|N|2280
9501|9501|Pct 9501 MB|005|Y|Mail
9502|9502|Pct 9502 MB|005|Y|Mail
9503|9503|Pct 9503/9504|005|N|3015
9504|9503|Pct 9503/9504|005|N|3015
9505|9505|Pct 9505|005|N|779
9506|9506|Pct 9506|005|N|2976
9507|9507|Pct 9507|005|N|208
9508|9508|Pct 9508|005|N|776
9509|9509|Pct 9509|005|N|209
9511|9511|Pct 9511|005|N|775
9512|9512|Pct 9512|005|N|2517
9513|9513|Pct 9513|005|N|784
9514|9514|Pct 9514/9522|005|N|331
9515|9515|Pct 9515|005|N|1827
9516|9516|Pct 9516|005|N|318
9517|9517|Pct 9517|005|N|3398
9518|9518|Pct 9518|005|N|2854
9519|9519|Pct 9519|005|N|2801
9521|9521|Pct 9521|005|N|1859
9522|9514|Pct 9514/9522|005|N|331
9701|9701|Pct 9701|005|N|2818
9702|9702|Pct 9702|005|N|2594
9703|9703|Pct 9703|005|N|2172
9704|9704|Pct 9704|005|N|348
9705|9705|Pct 9705|005|N|3269
9706|9706|Pct 9706 MB|005|Y|Mail
9707|9707|Pct 9707|005|N|2418
9708|9708|Pct 9708|005|N|3281
9709|9709|Pct 9709|005|N|3447
9711|9711|Pct 9711|005|N|2627
9712|9712|Pct 9712|001|N|3171
9713|9713|Pct 9713|005|N|373
9714|9714|Pct 9714|001|N|1149
9715|9715|Pct 9715|001|N|1499
9716|9716|Pct 9716|005|N|2256
9717|9717|Pct 9717|005|N|3093
9718|9718|Pct 9718|001|N|1275
9719|9719|Pct 9719|001|N|3306
9721|9721|Pct 9721|001|N|1483
9722|9722|Pct 9722|001|N|3444
9723|9723|Pct 9723|001|N|2404
9724|9724|Pct 9724|001|N|3390
9725|9725|Pct 9725|001|N|474
9726|9726|Pct 9726|001|N|2574
9727|9727|Pct 9727|001|N|3507
9728|9728|Pct 9728|001|N|411
9729|9729|Pct 9729|001|N|2604
9731|9731|Pct 9731|001|N|388
9732|9732|Pct 9732 MB|005|Y|Mail
9733|9733|Pct 9733 MB|001|Y|Mail
9734|9734|Pct 9734|001|N|3448
9735|9735|Pct 9735|001|N|3095
9736|9736|Pct 9736|001|N|3515
9737|9737|Pct 9737|001|N|2674
9738|9738|Pct 9738|001|N|3399
9739|9739|Pct 9739|001|N|481
9741|9741|Pct 9741|001|N|3487
9742|9742|Pct 9742|001|N|412
9743|9743|Pct 9743|001|N|2094
9744|9744|Pct 9744|001|N|486
9745|9745|Pct 9745|001|N|485
9746|9746|Pct 9746|001|N|3518
9747|9747|Pct 9747|001|N|3497
9748|9748|Pct 9748|001|N|3440
9749|9749|Pct 9749|001|N|2250
9751|9751|Pct 9751|001|N|3020
9752|9752|Pct 9752|001|N|2613
9753|9753|Pct 9753|001|N|3484
9754|9754|Pct 9754|001|N|3350
9755|9755|Pct 9755|001|N|2718
9756|9756|Pct 9756|001|N|3511
9801|9801|Pct 9801|004|N|3504
9900|9900|Pct 9900 MB|007|Y|Mail
9901|9901|Pct 9901 MB|008|Y|Mail
9902|9902|Pct 9902 MB|009|Y|Mail
