area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	124:EVA I. CHAO	125:BRIAN J. LARKIN	126:JONATHAN LYENS	127:JANICE LI	128:MELANIE NUTTER	129:WILLIAM WALKER
PCT9228	MV	747	424	0	8	104	312	2	82	40	42	59	78	9
PCT9229	ED	598	162	0	1	55	106	0	22	14	18	21	27	4
PCT9229	MV	598	316	0	4	87	225	1	38	35	28	49	66	8
PCT9231	ED	953	313	0	7	84	222	0	27	26	31	78	55	5
PCT9231	MV	953	488	0	6	125	357	0	53	50	53	121	74	6
PCT9232	ED	735	212	0	3	65	144	0	30	24	19	38	28	5
PCT9232	MV	735	396	0	9	101	286	0	54	31	39	78	78	6
PCT9233	ED	793	209	0	1	70	138	0	32	14	10	39	39	4
PCT9233	MV	793	434	0	3	140	291	0	72	30	35	75	76	3
PCT9234	ED	746	187	0	0	50	137	0	28	18	17	36	33	5
PCT9234	MV	746	438	0	7	109	322	0	64	34	38	95	86	5
PCT9235	ED	884	239	0	3	81	155	0	41	14	17	28	52	3
PCT9235	MV	884	488	0	3	170	315	1	82	40	43	54	89	6
PCT9236	ED	683	201	0	2	61	138	1	48	20	14	24	26	5
PCT9236	MV	683	358	0	2	107	249	0	49	30	40	55	72	3
PCT9237	ED	936	229	0	2	84	143	0	36	21	18	29	37	2
PCT9237	MV	936	539	0	7	160	372	1	65	47	55	84	115	5
PCT9238	ED	842	230	0	2	87	141	0	29	12	17	36	42	5
PCT9238	MV	842	456	0	3	126	327	0	75	35	41	55	113	8
PCT9239	ED	881	200	0	4	59	137	0	43	20	10	23	35	6
PCT9239	MV	881	499	0	4	147	348	0	82	34	49	80	102	1
PCT9241	ED	1005	255	0	6	83	166	0	33	21	19	36	52	5
PCT9241	MV	1005	578	0	5	141	432	0	95	57	51	97	123	9
PCT9242	ED	972	277	0	2	96	179	2	46	25	15	52	33	6
PCT9242	MV	972	513	0	3	143	367	0	86	40	48	88	96	9
PCT9243	ED	594	193	0	1	54	138	0	38	15	16	29	35	5
PCT9243	MV	594	307	0	5	73	229	0	33	27	25	76	60	8
PCT9244	ED	903	255	0	0	73	182	0	41	23	27	43	41	7
PCT9244	MV	903	485	0	2	147	336	0	58	36	30	119	84	9
PCT9245	ED	742	209	0	3	60	146	1	33	15	24	42	28	3
PCT9245	MV	742	375	0	3	109	263	0	38	25	53	65	75	7
PCT9246	ED	929	257	0	3	88	166	2	29	20	16	52	38	9
PCT9246	MV	929	528	0	5	156	367	0	74	43	49	110	78	13
PCT9247	ED	927	264	0	4	82	178	3	32	31	22	44	38	8
PCT9247	MV	927	515	0	5	113	397	0	71	50	48	120	100	8
PCT9248	ED	907	258	0	2	76	180	1	37	28	22	54	32	6
PCT9248	MV	907	487	0	2	128	357	1	59	33	57	116	88	3
PCT9249	ED	917	271	0	4	74	193	1	28	22	31	62	45	4
PCT9249	MV	917	495	0	5	121	369	0	60	46	54	106	98	5
PCT9251	ED	995	287	0	2	82	203	0	35	27	30	49	55	7
PCT9251	MV	995	530	0	4	151	375	2	50	51	64	120	80	8
PCT9252	ED	944	219	0	2	54	163	0	30	28	29	35	34	7
PCT9252	MV	944	550	0	4	132	414	1	73	57	45	132	96	10
PCT9253	ED	772	187	0	1	56	130	0	23	29	19	33	23	3
PCT9253	MV	772	397	0	8	90	299	2	54	49	30	87	70	7
PCT9255	ED	553	183	0	2	46	135	0	18	21	14	50	27	5
PCT9255	MV	553	263	0	3	62	198	0	31	25	24	79	31	8
PCT9258	ED	712	193	0	1	38	154	1	57	11	15	42	22	6
PCT9258	MV	712	373	0	2	64	307	0	97	23	30	101	45	11
PCT9401	ED	1012	293	0	3	69	221	1	27	26	30	94	28	15
PCT9401	MV	1012	484	0	3	83	398	1	46	38	59	189	45	20
PCT9402	ED	977	290	0	5	72	213	0	33	20	26	90	28	16
PCT9402	MV	977	458	0	1	92	365	0	45	35	49	166	54	16
PCT9403	ED	897	240	0	3	64	173	0	21	20	18	80	23	11
PCT9403	MV	897	419	0	8	82	329	0	71	42	42	119	40	15
PCT9404	ED	930	200	0	1	62	137	0	23	22	17	56	11	8
PCT9404	MV	930	462	0	6	77	379	2	98	53	36	132	44	14
PCT9405	ED	786	210	0	0	47	163	2	36	26	15	50	30	4
PCT9405	MV	786	364	0	4	83	277	6	63	37	30	83	36	22
PCT9406	ED	868	244	0	3	51	190	0	44	27	17	66	24	12
PCT9406	MV	868	421	0	3	96	322	1	59	38	41	130	41	12
PCT9407	ED	889	253	0	2	43	208	0	36	22	12	92	33	13
PCT9407	MV	889	409	0	2	73	334	1	60	36	29	154	45	9
PCT9408	ED	886	265	0	2	58	205	1	24	31	14	110	15	10
PCT9408	MV	886	415	0	3	69	343	1	50	34	29	170	46	13
PCT9411	ED	956	271	0	3	72	196	0	27	34	18	92	16	9
PCT9411	MV	956	431	0	1	85	345	1	29	57	34	148	60	16
PCT9412	ED	848	245	0	2	69	174	1	23	15	18	82	27	8
PCT9412	MV	848	380	0	2	95	283	0	51	24	36	128	33	11
PCT9413	ED	894	229	0	1	54	174	1	30	18	20	66	32	7
PCT9413	MV	894	461	0	4	109	348	1	59	44	44	140	45	15
PCT9414	ED	916	216	0	2	52	162	0	29	27	22	57	20	7
PCT9414	MV	916	463	0	4	89	370	0	69	48	37	152	53	11
PCT9415	ED	784	187	0	4	50	133	0	24	20	19	46	17	7
PCT9415	MV	784	392	0	2	88	302	0	63	40	28	114	51	6
PCT9416	ED	1008	282	1	2	67	212	0	25	24	19	96	40	8
PCT9416	MV	1008	480	1	4	107	368	1	70	39	47	134	66	11
PCT9417	ED	752	175	0	1	39	135	0	22	14	16	52	26	5
PCT9417	MV	752	402	0	2	95	305	1	52	47	36	106	57	6
PCT9418	ED	790	211	0	2	48	161	0	32	19	15	65	20	10
PCT9418	MV	790	376	0	5	91	280	0	63	50	31	66	58	12
PCT9419	ED	924	222	0	5	48	169	0	53	19	19	42	26	10
PCT9419	MV	924	468	0	2	126	340	2	66	51	32	126	52	11
PCT9421	ED	906	238	0	2	64	172	1	32	23	11	61	36	8
PCT9421	MV	906	446	0	4	103	339	1	85	39	24	134	48	8
