area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	118:MARSHALL TUCK	119:TONY K. THURMOND
PCT7619	ED	1063	219	0	0	42	177	3	53	121
PCT7619	MV	1063	563	0	2	115	446	1	154	291
PCT7621	ED	1320	287	0	1	72	214	2	84	128
PCT7621	MV	1320	668	0	5	142	521	6	178	337
PCT7622	ED	988	170	0	5	38	127	1	55	71
PCT7622	MV	988	301	0	4	59	238	3	91	144
PCT7623	ED	746	184	0	2	42	140	2	47	91
PCT7623	MV	746	297	0	1	56	240	3	80	157
PCT7624	ED	859	142	0	1	26	115	3	44	68
PCT7624	MV	859	290	0	4	56	230	1	101	128
PCT7625	ED	822	66	0	0	14	52	0	28	24
PCT7625	MV	822	475	0	9	145	321	4	151	166
PCT7626	ED	1114	227	0	2	58	167	4	76	87
PCT7626	MV	1114	612	0	3	157	452	5	167	280
PCT7627	ED	1187	267	0	1	77	189	1	92	96
PCT7627	MV	1187	582	0	2	154	426	1	196	229
PCT7628	ED	960	241	0	4	52	185	4	64	117
PCT7628	MV	960	428	0	2	85	341	4	93	244
PCT7629	ED	809	208	0	0	45	163	3	54	106
PCT7629	MV	809	343	0	1	75	267	2	94	171
PCT7631	ED	1155	270	0	0	79	191	1	86	104
PCT7631	MV	1155	577	0	8	131	438	2	143	293
PCT7632	ED	1124	289	0	2	87	200	2	62	136
PCT7632	MV	1124	561	0	0	110	451	4	138	309
PCT7633	ED	741	137	0	0	35	102	1	38	63
PCT7633	MV	741	392	0	2	112	278	3	94	181
PCT7634	ED	900	195	0	2	51	142	1	52	89
PCT7634	MV	900	421	0	3	93	325	3	132	190
PCT7635	ED	840	158	0	3	41	114	0	37	77
PCT7635	MV	840	382	0	2	86	294	4	93	197
PCT7636	ED	938	251	0	0	81	170	0	60	110
PCT7636	MV	938	465	0	2	119	344	2	134	208
PCT7637	ED	809	193	0	1	59	133	2	61	70
PCT7637	MV	809	404	0	0	109	295	0	116	179
PCT7638	ED	1467	295	0	0	93	202	0	96	106
PCT7638	MV	1467	871	1	2	231	637	3	273	361
PCT7639	ED	1011	242	0	1	80	161	1	63	97
PCT7639	MV	1011	559	0	1	137	421	2	169	250
PCT7641	ED	972	205	0	2	53	150	2	61	87
PCT7641	MV	972	549	0	1	123	425	1	164	260
PCT7642	ED	937	153	0	0	39	114	1	44	69
PCT7642	MV	937	394	0	0	134	260	2	109	149
PCT7643	ED	920	169	0	1	43	125	4	33	88
PCT7643	MV	920	507	0	3	94	410	3	143	264
PCT7644	ED	1175	330	0	1	87	242	1	92	149
PCT7644	MV	1175	554	0	2	129	423	1	136	286
PCT7645	ED	640	120	0	0	26	94	2	36	56
PCT7645	MV	640	377	0	1	118	258	1	119	138
PCT7646	ED	1100	267	0	1	82	184	2	68	114
PCT7646	MV	1100	592	0	1	138	453	3	128	322
PCT7647	ED	1075	205	0	1	41	163	2	67	94
PCT7647	MV	1075	283	0	5	56	222	3	62	157
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	178	0	0	44	134	2	50	82
PCT7649	MV	891	395	0	3	88	304	3	107	194
PCT7651	ED	677	166	1	2	60	103	2	43	58
PCT7651	MV	677	351	0	1	100	250	5	113	132
PCT7652	ED	628	135	0	0	40	95	1	45	49
PCT7652	MV	628	301	0	1	78	222	0	81	141
PCT7653	ED	1280	300	0	1	88	211	2	79	130
PCT7653	MV	1280	673	0	3	183	487	3	190	294
PCT7701	ED	1064	296	0	1	53	242	1	81	160
PCT7701	MV	1064	597	0	1	144	452	1	136	315
PCT7702	ED	748	180	0	1	39	140	1	52	87
PCT7702	MV	748	415	0	6	95	314	4	96	214
PCT7703	MV	171	79	0	3	22	54	0	20	34
PCT7704	ED	1008	257	0	0	55	202	1	82	119
PCT7704	MV	1008	557	0	4	112	441	1	155	285
PCT7705	ED	568	149	0	0	25	124	0	54	70
