area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT7343	ED	706	89	0	0	26	0	63	0	63
PCT7343	MV	706	145	0	0	34	0	111	0	111
PCT7343	TO	706	234	0	0	60	0	174	0	174
PCT7344	ED	1052	113	0	0	37	0	76	0	76
PCT7344	MV	1052	290	0	0	72	0	218	0	218
PCT7344	TO	1052	403	0	0	109	0	294	0	294
PCT7346	ED	879	89	0	0	25	0	64	0	64
PCT7346	MV	879	170	0	0	57	0	113	0	113
PCT7346	TO	879	259	0	0	82	0	177	0	177
PCT7348	ED	1826	152	0	0	39	0	113	0	113
PCT7348	MV	1826	432	0	0	124	0	308	0	308
PCT7348	TO	1826	584	0	0	163	0	421	0	421
PCT7502	ED	779	70	0	0	16	0	54	0	54
PCT7502	MV	779	248	0	0	70	0	178	0	178
PCT7502	TO	779	318	0	0	86	0	232	0	232
PCT7503	ED	725	79	0	0	15	0	64	0	64
PCT7503	MV	725	204	0	0	52	0	152	0	152
PCT7503	TO	725	283	0	0	67	0	216	0	216
PCT7504	ED	1019	121	0	0	23	0	98	0	98
PCT7504	MV	1019	308	0	0	60	0	248	0	248
PCT7504	TO	1019	429	0	0	83	0	346	0	346
PCT7505	ED	851	101	0	0	19	0	82	0	82
PCT7505	MV	851	363	0	0	81	0	282	0	282
PCT7505	TO	851	464	0	0	100	0	364	0	364
PCT7506	ED	1913	188	0	0	51	0	137	0	137
PCT7506	MV	1913	514	0	0	152	0	362	0	362
PCT7506	TO	1913	702	0	0	203	0	499	0	499
PCT7508	ED	720	96	0	0	22	0	74	0	74
PCT7508	MV	720	286	0	0	69	0	217	0	217
PCT7508	TO	720	382	0	0	91	0	291	0	291
PCT7509	ED	914	128	0	0	38	0	90	0	90
PCT7509	MV	914	287	0	0	74	0	213	0	213
PCT7509	TO	914	415	0	0	112	0	303	0	303
PCT7512	ED	588	78	0	0	29	0	49	0	49
PCT7512	MV	588	207	0	0	65	0	142	0	142
PCT7512	TO	588	285	0	0	94	0	191	0	191
PCT7513	ED	784	101	0	0	32	0	69	0	69
PCT7513	MV	784	194	0	0	53	0	141	0	141
PCT7513	TO	784	295	0	0	85	0	210	0	210
