area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	13:DENNIS J. HERRERA
PCT7608	ED	1300	80	0	0	18	0	62	0	62
PCT7608	MV	1300	174	0	0	38	0	136	0	136
PCT7608	TO	1300	254	0	0	56	0	198	0	198
PCT7611	ED	763	38	0	0	7	0	31	1	30
PCT7611	MV	763	135	0	0	34	0	101	0	101
PCT7611	TO	763	173	0	0	41	0	132	1	131
PCT7613	ED	1421	101	0	0	28	0	73	0	73
PCT7613	MV	1421	210	0	0	47	0	163	0	163
PCT7613	TO	1421	311	0	0	75	0	236	0	236
PCT7614	ED	932	56	0	0	12	0	44	0	44
PCT7614	MV	932	94	0	0	18	0	76	0	76
PCT7614	TO	932	150	0	0	30	0	120	0	120
PCT7615	ED	745	41	0	0	8	0	33	1	32
PCT7615	MV	745	108	0	0	18	0	90	0	90
PCT7615	TO	745	149	0	0	26	0	123	1	122
PCT7616	ED	1246	58	0	0	11	0	47	0	47
