area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	24:JOSÉ CISNEROS
PCT7526	TO	974	220	0	0	57	0	163	0	163
PCT7527	ED	689	92	0	0	21	0	71	1	70
PCT7527	MV	689	95	0	0	25	0	70	0	70
PCT7527	TO	689	187	0	0	46	0	141	1	140
PCT7529	ED	906	137	0	0	39	0	98	3	95
PCT7529	MV	906	121	0	0	36	0	85	0	85
PCT7529	TO	906	258	0	0	75	0	183	3	180
PCT7531	ED	839	74	0	0	24	0	50	1	49
PCT7531	MV	839	86	0	0	23	0	63	0	63
PCT7531	TO	839	160	0	0	47	0	113	1	112
PCT7532	ED	792	90	0	0	19	0	71	1	70
PCT7532	MV	792	109	0	0	22	0	87	0	87
PCT7532	TO	792	199	0	0	41	0	158	1	157
PCT7533	ED	936	168	0	0	50	0	118	0	118
PCT7533	MV	936	100	0	0	24	0	76	0	76
PCT7533	TO	936	268	0	0	74	0	194	0	194
PCT7534	ED	881	116	0	0	41	0	75	0	75
PCT7534	MV	881	85	0	0	28	0	57	0	57
PCT7534	TO	881	201	0	0	69	0	132	0	132
PCT7536	ED	1594	242	0	0	66	0	176	1	175
PCT7536	MV	1594	229	0	0	62	0	167	0	167
PCT7536	TO	1594	471	0	0	128	0	343	1	342
PCT7537	ED	1472	217	0	0	53	0	164	1	163
PCT7537	MV	1472	179	0	0	49	0	130	0	130
PCT7537	TO	1472	396	0	0	102	0	294	1	293
PCT7539	ED	906	180	0	0	55	0	125	0	125
PCT7539	MV	906	84	0	0	30	0	54	0	54
PCT7539	TO	906	264	0	0	85	0	179	0	179
PCT7541	ED	769	100	0	0	35	0	65	0	65
PCT7541	MV	769	100	0	0	32	0	68	0	68
PCT7541	TO	769	200	0	0	67	0	133	0	133
PCT7543	ED	1718	204	0	0	63	0	141	2	139
PCT7543	MV	1718	201	0	0	53	0	148	0	148
PCT7543	TO	1718	405	0	0	116	0	289	2	287
PCT7544	ED	892	112	0	0	36	0	76	1	75
PCT7544	MV	892	119	0	0	30	0	89	0	89
PCT7544	TO	892	231	0	0	66	0	165	1	164
PCT7545	ED	877	110	0	0	31	0	79	0	79
PCT7545	MV	877	115	0	0	26	0	89	0	89
PCT7545	TO	877	225	0	0	57	0	168	0	168
PCT7546	ED	1900	271	0	0	78	0	193	1	192
PCT7546	MV	1900	248	0	0	57	0	191	0	191
PCT7546	TO	1900	519	0	0	135	0	384	1	383
PCT7548	ED	1027	149	0	0	45	0	104	2	102
PCT7548	MV	1027	140	0	1	29	0	110	0	110
PCT7548	TO	1027	289	0	1	74	0	214	2	212
PCT7549	ED	799	99	0	0	24	0	75	0	75
PCT7549	MV	799	135	0	0	43	0	92	0	92
PCT7549	TO	799	234	0	0	67	0	167	0	167
PCT7552	ED	685	97	0	0	18	0	79	0	79
PCT7552	MV	685	86	0	0	9	0	77	0	77
PCT7552	TO	685	183	0	0	27	0	156	0	156
PCT7553	MV	182	33	0	0	7	0	26	0	26
PCT7553	TO	182	33	0	0	7	0	26	0	26
PCT7554	ED	795	107	0	0	17	0	90	2	88
PCT7554	MV	795	128	0	0	33	0	95	0	95
PCT7554	TO	795	235	0	0	50	0	185	2	183
PCT7555	ED	1584	271	0	0	49	0	222	2	220
PCT7555	MV	1584	228	0	0	61	0	167	0	167
PCT7555	TO	1584	499	0	0	110	0	389	2	387
PCT7556	ED	958	113	0	0	19	0	94	0	94
PCT7556	MV	958	151	0	0	34	0	117	0	117
PCT7556	TO	958	264	0	0	53	0	211	0	211
PCT7601	ED	677	61	0	1	18	0	42	3	39
PCT7601	MV	677	82	0	0	16	0	66	0	66
PCT7601	TO	677	143	0	1	34	0	108	3	105
PCT7602	ED	1659	137	0	0	41	0	96	0	96
PCT7602	MV	1659	187	0	0	51	0	136	0	136
PCT7602	TO	1659	324	0	0	92	0	232	0	232
PCT7605	ED	1508	75	0	1	15	0	59	1	58
PCT7605	MV	1508	318	0	1	60	0	257	0	257
PCT7605	TO	1508	393	0	2	75	0	316	1	315
PCT7606	ED	887	62	0	0	12	0	50	0	50
PCT7606	MV	887	78	0	0	11	0	67	0	67
PCT7606	TO	887	140	0	0	23	0	117	0	117
PCT7607	ED	900	65	0	1	13	0	51	0	51
PCT7607	MV	900	131	0	1	25	0	105	0	105
PCT7607	TO	900	196	0	2	38	0	156	0	156
PCT7608	ED	1300	80	0	0	20	0	60	0	60
PCT7608	MV	1300	174	0	0	40	0	134	0	134
PCT7608	TO	1300	254	0	0	60	0	194	0	194
PCT7611	ED	763	38	0	0	9	0	29	1	28
PCT7611	MV	763	135	0	0	28	0	107	0	107
PCT7611	TO	763	173	0	0	37	0	136	1	135
PCT7613	ED	1421	101	0	0	29	0	72	0	72
PCT7613	MV	1421	210	0	0	41	0	169	0	169
PCT7613	TO	1421	311	0	0	70	0	241	0	241
PCT7614	ED	932	56	0	0	14	0	42	0	42
PCT7614	MV	932	94	0	0	18	0	76	0	76
PCT7614	TO	932	150	0	0	32	0	118	0	118
PCT7615	ED	745	41	0	0	8	0	33	1	32
PCT7615	MV	745	108	0	0	24	0	84	0	84
PCT7615	TO	745	149	0	0	32	0	117	1	116
PCT7616	ED	1246	58	0	0	17	0	41	0	41
