area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	26:JENNY LAM	27:KIRSTEN STROBEL	28:ROBERT K. COLEMAN
PCT7343	MV	706	144	0	1	29	114	0	88	12	14
PCT7343	TO	706	233	0	1	47	185	0	136	26	23
PCT7344	ED	1052	113	0	0	28	85	0	49	18	18
PCT7344	MV	1052	290	0	1	55	234	0	172	39	23
PCT7344	TO	1052	403	0	1	83	319	0	221	57	41
PCT7346	ED	879	88	0	1	11	76	0	54	13	9
PCT7346	MV	879	170	0	0	31	139	0	101	24	14
PCT7346	TO	879	258	0	1	42	215	0	155	37	23
PCT7348	ED	1826	152	0	1	29	122	0	76	26	20
PCT7348	MV	1826	433	0	1	87	345	0	236	65	44
PCT7348	TO	1826	585	0	2	116	467	0	312	91	64
PCT7502	ED	779	70	0	0	14	56	0	37	11	8
PCT7502	MV	779	247	0	0	39	208	0	163	22	23
PCT7502	TO	779	317	0	0	53	264	0	200	33	31
PCT7503	ED	725	79	0	0	11	68	0	40	15	13
PCT7503	MV	725	204	0	1	44	159	0	114	25	20
PCT7503	TO	725	283	0	1	55	227	0	154	40	33
PCT7504	ED	1019	121	0	0	27	94	0	70	14	10
PCT7504	MV	1019	308	0	4	59	245	0	193	35	17
PCT7504	TO	1019	429	0	4	86	339	0	263	49	27
PCT7505	ED	851	101	0	0	15	86	0	65	12	9
PCT7505	MV	851	363	0	1	71	291	0	239	30	22
PCT7505	TO	851	464	0	1	86	377	0	304	42	31
PCT7506	ED	1913	188	0	0	36	152	0	103	31	18
PCT7506	MV	1913	516	0	1	79	436	0	333	58	45
PCT7506	TO	1913	704	0	1	115	588	0	436	89	63
PCT7508	ED	720	96	0	0	15	81	0	52	19	10
PCT7508	MV	720	288	0	1	49	238	0	182	30	26
PCT7508	TO	720	384	0	1	64	319	0	234	49	36
PCT7509	ED	914	128	0	1	25	102	0	71	20	11
PCT7509	MV	914	287	0	0	52	235	0	151	51	33
PCT7509	TO	914	415	0	1	77	337	0	222	71	44
PCT7512	ED	588	78	0	1	20	57	0	29	15	13
PCT7512	MV	588	207	0	2	41	164	0	130	22	12
PCT7512	TO	588	285	0	3	61	221	0	159	37	25
PCT7513	ED	784	101	0	1	19	81	0	54	12	15
PCT7513	MV	784	193	0	3	35	155	0	105	30	20
PCT7513	TO	784	294	0	4	54	236	0	159	42	35
PCT7514	ED	901	87	0	1	10	76	0	41	18	17
PCT7514	MV	901	235	0	2	38	195	0	134	37	24
PCT7514	TO	901	322	0	3	48	271	0	175	55	41
PCT7515	ED	852	97	0	1	11	85	0	60	13	12
PCT7515	MV	852	242	0	0	48	194	0	141	38	15
PCT7515	TO	852	339	0	1	59	279	0	201	51	27
PCT7516	ED	906	111	0	1	23	87	0	60	18	9
PCT7516	MV	906	359	0	1	71	287	0	223	40	24
PCT7516	TO	906	470	0	2	94	374	0	283	58	33
PCT7518	ED	1754	329	0	0	91	238	0	161	54	23
PCT7518	MV	1754	563	0	2	147	414	0	324	65	25
PCT7518	TO	1754	892	0	2	238	652	0	485	119	48
PCT7519	ED	709	116	0	0	30	86	0	56	26	4
PCT7519	MV	709	204	0	1	61	142	0	107	27	8
PCT7519	TO	709	320	0	1	91	228	0	163	53	12
PCT7521	ED	761	136	0	0	37	99	0	65	21	13
PCT7521	MV	761	248	0	0	75	173	0	133	29	11
PCT7521	TO	761	384	0	0	112	272	0	198	50	24
PCT7522	ED	1464	290	0	0	90	200	0	125	55	20
PCT7522	MV	1464	424	0	1	119	304	0	229	54	21
PCT7522	TO	1464	714	0	1	209	504	0	354	109	41
PCT7524	ED	606	97	0	0	21	76	0	42	18	16
PCT7524	MV	606	165	0	1	26	138	0	99	27	12
PCT7524	TO	606	262	0	1	47	214	0	141	45	28
