area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7839	MV	842	0	0	0	0	0	0	0
PCT7841	ED	937	0	0	0	0	0	0	0
PCT7841	MV	937	0	0	0	0	0	0	0
PCT7842	ED	903	0	0	0	0	0	0	0
PCT7842	MV	903	0	0	0	0	0	0	0
PCT7843	ED	767	0	0	0	0	0	0	0
PCT7843	MV	767	0	0	0	0	0	0	0
PCT7844	ED	663	0	0	0	0	0	0	0
PCT7844	MV	663	0	0	0	0	0	0	0
PCT7845	ED	849	0	0	0	0	0	0	0
PCT7845	MV	849	0	0	0	0	0	0	0
PCT7846	ED	904	0	0	0	0	0	0	0
PCT7846	MV	904	0	0	0	0	0	0	0
PCT7847	ED	929	0	0	0	0	0	0	0
PCT7847	MV	929	0	0	0	0	0	0	0
PCT7848	ED	834	0	0	0	0	0	0	0
PCT7848	MV	834	0	0	0	0	0	0	0
PCT7849	ED	929	0	0	0	0	0	0	0
